date,tweet
2021-07-25 01:04:43,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 01:03:01,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:54:08,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:53:20,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:47:13,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:43:17,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:43:00,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:41:34,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:40:54,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:39:48,b'RT @JoseAgu16772436: @CarolineSandini @ellamararodrig @AshlyRRivero19 @superfrog89 @TatianaCaribe @AgatonAnonimo @BrownSugarNic @CamilaPlom\xe2\x80\xa6'
2021-07-25 00:38:03,b'Viendo a los peruanos rompi\xc3\xa9ndola en Surf - Tokio: https://t.co/Hay8RVlshi #Claro #Tokyo #VamosConTodo #HazloRealidad'
2021-07-25 00:35:03,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:33:42,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:27:45,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:23:20,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:22:01,"b'@Lili03471648 El sistema de #Claro, entonces, se est\xc3\xa1 poniendo obscuro!!!'"
2021-07-25 00:21:31,b'RT @RafaelPina10: Dia #2 de competencia para los atletas \xf0\x9f\x87\xbb\xf0\x9f\x87\xaa\xf0\x9f\x87\xbb\xf0\x9f\x87\xaa en #Tokio2020\n\n\xf0\x9f\x9a\xa3\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f Remo: 9:10 PM*\n\xf0\x9f\xa5\x8aPeso mosca femenino:11:03PM*\n\xf0\x9f\xa4\xba Espada Ind\xe2\x80\xa6'
2021-07-25 00:20:46,b'#Claro.\nEsta como el orto la se\xc3\xb1al \xf0\x9f\x98\xa1'
2021-07-25 00:20:14,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:18:22,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:17:08,"b'@DelaRo_ Resumen en Azteca y Televisa, competencias en vivo a trav\xc3\xa9s de #Claro tambi\xc3\xa9n por sus canales de Youtube'"
2021-07-25 00:13:28,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:12:00,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
2021-07-25 00:11:59,b'RT @FiscalizacionAN: El legislador @VillaFernando_ explic\xc3\xb3 que la telef\xc3\xb3nica #Conecel (#Claro) pago de su propio bolsillo el peritaje en el\xe2\x80\xa6'
