date,tweet
2021-07-24 12:55:35,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 12:48:22,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 12:36:27,b'RT @xaviercarrillos: Los #movistar se la pisan por dejar escapar al campe\xc3\xb3n ol\xc3\xadmpico. #Tomaaaa.'

2021-07-24 12:33:44,"b'RT @CabreraDeMar: Junto con El Jovencito Frankestein una comedia de los 70 absolutamente deliciosa, \xc2\xbfno es as\xc3\xad Benson Se\xc3\xb1ora?\xf0\x9f\x98\x85 #Movistar\nPo\xe2\x80\xa6'"

2021-07-24 12:32:36,"b'RT @oriolobos: #movistar 60 minutos para un traslado de l\xc3\xadnea, pasando d un agente a otro, encima ten\xc3\xa9is que dar de baja y alta x cambiar d\xe2\x80\xa6'"

2021-07-24 12:31:03,"b'#movistar 60 minutos para un traslado de l\xc3\xadnea, pasando d un agente a otro, encima ten\xc3\xa9is que dar de baja y alta x\xe2\x80\xa6 https://t.co/4SRaNfDr1Z'"

2021-07-24 12:27:58,b'Los #movistar se la pisan por dejar escapar al campe\xc3\xb3n ol\xc3\xadmpico. #Tomaaaa.'

2021-07-24 12:22:55,b'@VivaLaVidaT5 #APAGONTELECINCO #tongosupervivientes  \nDe 6 llamadas para ganar Gianmarco me contabilizan 4 y despu\xc3\xa9\xe2\x80\xa6 https://t.co/HFIX0e8BTB'

2021-07-24 12:02:53,b'@AyudaMovistarCL Y de que sirve su energ\xc3\xada si les escrib\xc3\xad el.jueves por un problema y nada a\xc3\xban ??? P\xc3\xa9simo servicios de #Movistar'

2021-07-24 11:58:31,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

2021-07-24 11:14:08,b'RT @ricardo_ams7: @2010MisterChip Pasar el dato a @Movistar_Team que no pudieron y no podr\xc3\xa1n volver a estropear la carrera de @RichardCarap\xe2\x80\xa6'

